epoch,dice_coef,learning_rate,loss,val_dice_coef,val_loss
0,0.04575534164905548,9.999999747378752e-05,0.9542446136474609,0.036191001534461975,0.9638090133666992
1,0.06886285543441772,9.999999747378752e-05,0.9311371445655823,0.03822378069162369,0.9617761969566345
2,0.08249031752347946,9.999999747378752e-05,0.9175095558166504,0.039723750203847885,0.9602763056755066
3,0.09202452003955841,9.999999747378752e-05,0.9079754948616028,0.040862590074539185,0.959137499332428
4,0.10093583911657333,9.999999747378752e-05,0.8990639448165894,0.042036160826683044,0.9579638242721558
5,0.11009766161441803,9.999999747378752e-05,0.8899022340774536,0.04914696514606476,0.9508530497550964
6,0.12326963990926743,9.999999747378752e-05,0.8767304420471191,0.0576092004776001,0.9423908591270447
7,0.13076798617839813,9.999999747378752e-05,0.8692319393157959,0.0643402636051178,0.9356597065925598
8,0.13751184940338135,9.999999747378752e-05,0.8624882102012634,0.0687955692410469,0.9312043786048889
9,0.1482454538345337,9.999999747378752e-05,0.8517546653747559,0.07417405396699905,0.925825834274292
10,0.15482690930366516,9.999999747378752e-05,0.8451731204986572,0.08847203105688095,0.9115279316902161
11,0.16199655830860138,9.999999747378752e-05,0.8380034565925598,0.09182693809270859,0.9081730246543884
12,0.1669236123561859,9.999999747378752e-05,0.8330763578414917,0.10522408038377762,0.894775927066803
13,0.17077045142650604,9.999999747378752e-05,0.8292295932769775,0.1322484165430069,0.8677515983581543
14,0.1768249273300171,9.999999747378752e-05,0.8231751918792725,0.12410213053226471,0.8758978843688965
15,0.1834474503993988,9.999999747378752e-05,0.8165525794029236,0.15442346036434174,0.8455765247344971
16,0.18855728209018707,9.999999747378752e-05,0.8114426732063293,0.1707548052072525,0.8292452692985535
17,0.19599094986915588,9.999999747378752e-05,0.8040090203285217,0.18638242781162262,0.8136175274848938
18,0.2013917863368988,9.999999747378752e-05,0.7986080646514893,0.18585985898971558,0.8141401410102844
19,0.20641812682151794,9.999999747378752e-05,0.7935819029808044,0.20190559327602386,0.7980945110321045
20,0.21431972086429596,9.999999747378752e-05,0.7856802344322205,0.2029150128364563,0.7970849871635437
21,0.21929603815078735,9.999999747378752e-05,0.7807040810585022,0.2140398919582367,0.7859600186347961
22,0.2263081669807434,9.999999747378752e-05,0.7736918330192566,0.21804910898208618,0.781950831413269
